,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,class_10,class_prop_10,class_11,class_prop_11,class_12,class_prop_12,class_13,class_prop_13,class_14,class_prop_14,drifts_alerts,local_alerts
170,85500,0.964,0.9587032922808929,0.9613064656895832,0.9459459459459459,0.05533565827033767,0.9629629629629629,0.06565263958023024,0.8333333333333334,0.05193837444068086,1.0,0.04915880254807857,0.9736842105263158,0.08088762246695831,1.0,0.10508193294169643,0.972972972972973,0.08001186241108484,0.8461538461538461,0.048880718419145916,0.9393939393939394,0.07247431406709033,1.0,0.0782269992947502,1.0,0.055504696375983695,0.9696969696969697,0.05922873240755939,1.0,0.03780266280180022,0.9583333333333334,0.09337924450773247,1.0,0.06643573946687098,0,0
171,86000,0.968,0.9652343730234932,0.9656323434016247,0.9705882352941176,0.0678859381219209,0.9736842105263158,0.07267322408312861,0.90625,0.0653792373874766,0.972972972972973,0.08456824869147603,0.9333333333333333,0.04950262579269733,1.0,0.06625531718104012,0.9666666666666667,0.07020787088748007,0.9791666666666666,0.08926940908198913,0.95,0.0901887508913099,0.9,0.06003610836280594,0.9666666666666667,0.06620988965514592,1.0,0.07565090236121189,1.0,0.055891663305031675,0.9666666666666667,0.0460191225139627,1.0,0.040261691683323365,0,0
172,86500,0.944,0.945778299281596,0.9399409705539158,0.96875,0.07210692568144772,0.8611111111111112,0.07371100207786672,0.8,0.10941579472456014,1.0,0.0779265956514379,1.0,0.061058964097610156,0.8857142857142857,0.051895197540172106,0.9722222222222222,0.06467727093357495,0.9629629629629629,0.03618533756227291,0.967741935483871,0.07688147537104258,0.9090909090909091,0.055890495474984925,1.0,0.057890047548583845,0.9230769230769231,0.08923420817945558,1.0,0.06865110514396526,0.9642857142857143,0.03552172880046654,1.0,0.06895385121255873,0,0
173,87000,0.978,0.9750077824359746,0.9763840046716732,0.9714285714285714,0.08264665526962355,0.9722222222222222,0.06416406198741272,0.96875,0.06435794819995116,0.967741935483871,0.07868107419319095,1.0,0.04670776503813409,1.0,0.04464086402754998,1.0,0.08686711045463356,0.9375,0.07186918777300703,0.96875,0.05690609264997182,1.0,0.053653865106970705,0.9230769230769231,0.0709624612051196,0.96875,0.06566949152764857,1.0,0.07297430197097077,0.9777777777777777,0.0763425138514089,0.972972972972973,0.06355660674440647,0,0
174,87500,0.968,0.9649726267689686,0.9656454785155411,1.0,0.05179225492132504,0.8913043478260869,0.08935107203001835,0.9166666666666666,0.030031661407841075,0.972972972972973,0.06208529613670971,0.967741935483871,0.07866277830521522,0.9722222222222222,0.06896232567865043,1.0,0.07484419232652803,0.9375,0.0691287266657929,0.972972972972973,0.09261879337608944,0.9705882352941176,0.06453585536308598,1.0,0.06720283231105358,1.0,0.07775221313716828,1.0,0.057797476482463216,0.8846153846153846,0.0562658743528445,1.0,0.0589686475052141,0,0
175,88000,0.974,0.9711944856061455,0.9720965373949327,1.0,0.04712033028535155,1.0,0.05461027823328603,0.9285714285714286,0.06642464472214432,0.9705882352941176,0.06629178398668809,1.0,0.09341327069690972,0.9743589743589743,0.054082139179002744,1.0,0.0524943361630496,1.0,0.0794892697430533,0.9473684210526315,0.08765718084532495,0.896551724137931,0.0580249565493646,1.0,0.07702111241107916,0.9655172413793104,0.05693754671637852,1.0,0.06401109551107116,0.95,0.07912148068833078,0.9428571428571428,0.06330057426896549,0,0
176,88500,0.954,0.951658916338043,0.9506418702868351,0.96875,0.07053368993083005,0.9411764705882353,0.06448919140658065,0.8787878787878788,0.07825537280142916,0.9736842105263158,0.0714068843251327,0.9722222222222222,0.07349368507181615,0.9666666666666667,0.04304656077143291,0.9722222222222222,0.06397235581670967,0.9210526315789473,0.09787017693994791,0.9696969696969697,0.07576083698116379,1.0,0.05675571223295473,0.8064516129032258,0.0866087671843363,0.95,0.06809602056681342,1.0,0.052493399278249954,0.975,0.053368099022833196,1.0,0.04384924766976931,0,0
177,89000,0.964,0.9625047642049528,0.9613534867743043,0.9714285714285714,0.0662494717523888,0.9642857142857143,0.07841459107707845,0.9142857142857143,0.06078238488499285,0.9428571428571428,0.05617118239797143,0.96875,0.03907588925605767,1.0,0.09950288408360518,0.9459459459459459,0.08983050145644807,0.9393939393939394,0.08792747597245364,0.9705882352941176,0.060449049403199714,0.925,0.07560627050279384,1.0,0.06417130402560763,1.0,0.04501749884160275,1.0,0.05674173836763368,0.9032258064516129,0.03290988018224015,1.0,0.08714987779592615,0,0
178,89500,0.97,0.9653790042019271,0.9677812908103649,1.0,0.09146258565030829,0.9545454545454546,0.11210831478981209,0.9375,0.08291265503146864,1.0,0.04935646119488401,0.96875,0.06615439660670826,0.8928571428571429,0.04536592537647773,1.0,0.07346904314859184,0.9523809523809523,0.03532786033124425,0.9310344827586207,0.05666343271434787,1.0,0.043568807717441475,0.9142857142857143,0.06628806576272459,1.0,0.05815488917120086,1.0,0.07464771164844018,0.9393939393939394,0.08876835271142684,1.0,0.055751498144923056,0,0
179,90000,0.98,0.9766844793900791,0.9785286084820585,0.9743589743589743,0.07862669808997494,1.0,0.0745016730663831,0.972972972972973,0.07431780986486679,0.9714285714285714,0.09063646644127285,1.0,0.09180439733860946,0.972972972972973,0.07340199117931161,0.9722222222222222,0.06246721734426832,1.0,0.0765534991624536,0.9666666666666667,0.07710808290756291,0.9583333333333334,0.036900251833572706,1.0,0.0654678582215256,0.9629629629629629,0.05615398804431503,0.9615384615384616,0.03378045712979882,0.96875,0.05068385550980652,0.9696969696969697,0.05759575386627765,0,0
